,brand u199P train,brand T75q train,brand d194w train,brand N97e train,brand r18p train,brand m179b train,brand L211K train,brand p57S train,brand M9H train,brand o21V train,brand b75G train,brand P144q train,brand Y206o train,brand N239O train,brand L115J train,brand m184o train,brand q92a train,brand M147U train,brand u199P actual,brand T75q actual,brand d194w actual,brand N97e actual,brand r18p actual,brand m179b actual,brand L211K actual,brand p57S actual,brand M9H actual,brand o21V actual,brand b75G actual,brand P144q actual,brand Y206o actual,brand N239O actual,brand L115J actual,brand m184o actual,brand q92a actual,brand M147U actual
17,19.276577,16.97253,20.7456,18.68671,11.797825,5.9149027,21.319674,3.9503157,54.946655,2.1698916,0.590823,21.870878,0.3974424,4.7187285,1.5073662,2.672165,0.6300404,0.0034169015,18.0,14.0,19.0,12.499999999999998,3.5,6.5,8.0,10.0,55.00000000000001,0.0,0.0,9.0,0.0,17.0,3.0,8.0,0.0,0.0
18,15.020957,17.069246,21.219198,18.734617,13.786816,6.4085913,18.289242,4.5867786,53.6211,2.464136,0.8514279,11.710829,0.4811147,4.27502,-0.2416307,2.089662,0.6329046,0.002594497,11.999999999999998,15.5,23.499999999999996,23.5,3.0,13.0,13.0,0.0,54.5,1.0,0.0,20.5,0.0,10.0,4.0,19.0,0.0,0.0
19,16.952621,17.2384,21.319628,18.817196,13.174795,6.3474417,19.929184,4.3741465,54.71851,2.375026,0.740473,16.03712,0.4504432,4.583598,0.47701463,2.4322987,0.6404747,0.0029574689,9.0,55.0,73.0,12.0,5.0,19.0,9.0,1.0,46.0,0.0,0.0,11.0,0.0,15.0,3.0,8.0,0.0,0.0
20,23.435642,15.855805,18.835842,18.062735,8.669445,4.700998,22.765558,2.9856372,53.21558,1.7307435,0.3359115,31.465855,0.30483025,4.5140843,3.6120517,2.7620862,0.55785006,0.0017126612,27.0,5.5,8.5,19.0,9.0,6.0,18.0,2.5,45.5,1.0,0.0,13.5,0.0,13.0,1.0,13.0,0.0,0.0
21,13.8919115,16.758389,20.888329,18.501637,13.873365,6.3211827,17.173454,4.6206985,52.41322,2.4726877,0.90158075,9.475032,0.49047366,4.037755,-0.58333105,1.8714027,0.6213583,0.0024323203,13.5,8.5,24.0,19.5,3.0,4.0,23.5,1.0,47.5,0.0,0.0,24.0,0.0,13.0,1.0,3.0,0.0,0.0
22,14.777128,16.894028,21.001032,18.590565,13.636792,6.3203115,17.98986,4.54562,53.111557,2.436805,0.8506572,11.5075655,0.47637337,4.2056103,-0.27275124,2.047628,0.6289904,0.0027608424,10.0,12.0,15.0,29.0,7.5,1.0,30.5,42.0,61.5,0.0,0.0,34.0,1.0,8.5,0.0,0.0,0.0,0.0
23,15.977552,17.064693,21.140919,18.711824,13.329445,6.313256,19.04993,4.442883,53.99428,2.3929996,0.7861032,14.149235,0.4594046,4.411147,0.14833666,2.2618213,0.63648736,0.0030445252,16.0,4.0,14.0,11.5,3.0,5.5,21.5,6.0,63.5,1.0,0.0,32.0,1.0,7.0,0.0,3.0,0.0,0.0
24,18.748672,17.369562,21.346788,19.013577,12.585158,6.2261357,21.247139,4.1848683,55.769073,2.2958617,0.65276396,19.740623,0.42546612,4.7704654,1.1335666,2.6330528,0.6419737,0.0030308738,17.0,20.5,23.0,48.0,16.5,10.5,22.5,3.0,55.5,1.0,0.0,49.0,0.0,1.0,1.0,9.0,1.5,0.0
25,21.704092,16.849503,20.407448,18.71621,10.718427,5.580139,22.706131,3.58646,55.35462,2.0313666,0.4730071,26.595251,0.36363778,4.8078294,2.5115366,2.8281958,0.6092589,0.00244808,40.5,11.5,20.0,6.999999999999999,6.5,5.0,45.0,0.0,88.5,0.0,0.0,34.5,0.0,3.0,0.0,0.0,2.0,0.0
26,20.51613,16.59331,20.142164,18.37842,10.821067,5.561323,21.827932,3.6301265,54.25742,2.02705,0.5028766,25.03499,0.36558998,4.699093,2.1562493,2.7535625,0.6094389,0.003139913,43.0,5.0,21.0,10.0,8.0,4.0,57.0,0.0,80.0,0.0,0.0,64.0,0.0,3.0,1.0,4.0,6.0,0.0
