,brand t140p train,brand v177j train,brand T75q train,brand w32S train,brand G56h train,brand t140p actual,brand v177j actual,brand T75q actual,brand w32S actual,brand G56h actual
0,0.057930708,0.026755333,1.1816101,-0.020232309,-0.051211987,0.0,0.0,1.0,0.0,0.0
1,0.04574278,0.0063546468,0.153079,-0.039492562,-0.010688938,0.0,0.0,0.0,0.0,0.0
2,0.010553241,-0.05023156,0.22464447,0.0625868,-0.008480251,0.0,0.0,1.0,0.0,0.0
3,-0.026034623,-0.043518655,0.11710657,0.0052325614,-0.0069176797,0.0,0.0,0.0,0.0,0.0
4,-0.059043646,0.035230264,-0.021184618,0.0009206403,-0.0051260367,0.0,0.0,0.0,0.0,0.0
5,-0.12223691,0.04715945,0.003600996,0.01074865,-0.0118810795,0.0,1.0,0.0,0.0,0.0
6,-0.03566873,0.0043552555,0.10405804,0.0052155624,-0.017853096,0.0,0.0,0.0,0.0,0.0
7,-0.056113124,0.032869622,-0.0071235746,-0.010243445,-0.013095835,0.0,0.0,0.0,0.0,0.0
8,0.01256597,-0.011102874,0.051070653,-0.008357079,-0.0036974978,0.0,0.0,0.0,0.0,0.0
9,-0.083916545,0.013918681,0.015585311,-0.0014623906,-0.0040878654,0.0,0.0,0.0,0.0,0.0
10,-0.048523992,0.04056109,-0.017299661,-0.0007515261,-0.0073203295,0.0,0.0,0.0,0.0,0.0
11,-0.105371624,0.0683303,-0.037811764,0.00010326039,-0.008844607,0.0,0.0,0.0,0.0,0.0
12,-0.05702761,0.06876214,-0.01478239,0.0023268396,-0.009469986,0.0,0.0,0.0,0.0,0.0
13,-0.101861954,0.013988651,-0.035797328,-0.008815746,-0.005831212,0.0,0.0,0.0,0.0,0.0
14,-0.011413038,0.019004,0.014892407,-0.0030454574,-0.0041529033,0.0,0.0,0.0,0.0,0.0
15,-0.040818512,0.03200101,0.0052360166,-0.004239888,-0.006653756,0.0,0.0,0.0,0.0,0.0
16,-0.043267906,0.05442796,-0.009443453,-0.0044008717,-0.007699929,0.0,0.0,0.0,0.0,0.0
17,-0.010514617,0.08385257,-0.010931166,-0.0053267693,-0.008530112,0.0,0.0,0.0,0.0,0.0
18,0.022271693,0.10048318,0.010828571,-0.010030074,-0.010736626,0.0,1.0,0.0,0.0,0.0
19,-0.026042521,0.048506975,0.02440325,-0.025378916,-0.015527872,0.0,0.0,0.0,0.0,0.0
20,1.1960306,0.103378706,-0.08701504,-0.0417,-0.019249907,1.0,0.0,0.0,0.0,0.0
21,-0.15421066,-0.027764272,-0.036404513,-0.006977259,-0.009479307,0.0,0.0,0.0,0.0,0.0
22,0.030645847,-0.012915786,-0.06359107,0.009750482,-0.00982306,0.0,0.0,0.0,0.0,0.0
23,-0.2047993,-0.043288637,-0.008162083,0.011713323,-0.019432934,0.0,0.0,0.0,0.0,0.0
24,2.020461,0.1342778,0.020373734,-0.048782896,-0.04912743,2.0,0.0,0.0,0.0,0.0
25,0.009784818,0.06155611,-0.032967523,-0.015454153,-0.020562798,0.0,0.0,0.0,0.0,0.0
26,-0.12799907,0.026890822,-0.01581436,-0.023574088,-0.013721069,0.0,0.0,0.0,0.0,0.0
27,0.012675583,-0.06325805,0.2247,0.044676505,-0.008054199,0.0,0.0,0.0,0.0,0.0
28,-0.03768885,-0.050766274,0.12229159,0.010749277,-0.006504692,0.0,0.0,0.0,0.0,0.0
29,-0.075166285,0.015557511,-0.004533874,-0.0046725525,3.361702e-05,0.0,0.0,0.0,0.0,0.0
30,-0.1255526,0.016555265,0.031868786,-0.008638869,-0.0066289175,0.0,0.0,0.0,0.0,0.0
31,-0.053456873,-0.0062776543,0.054785304,0.009904373,-0.015672142,0.0,0.0,0.0,0.0,0.0
32,-0.07736364,-0.01785269,0.117460676,-0.00184434,-0.01525142,0.0,0.0,0.0,0.0,0.0
33,-0.022329926,0.011168551,0.09513327,-0.0030181091,0.0031979028,0.0,0.0,0.0,0.0,0.0
34,0.05116391,0.045714956,0.09252318,-0.006078589,-0.005096158,0.0,0.0,0.0,0.0,0.0
35,-0.073054165,0.024108268,-0.00026839785,-0.000515501,-0.0041404925,0.0,0.0,0.0,0.0,0.0
36,-0.047149032,0.059371114,-0.040936053,0.008524866,-0.008726634,0.0,0.0,0.0,0.0,0.0
37,-0.12412292,0.04742235,-0.020947,0.010485563,-0.010140331,0.0,0.0,0.0,0.0,0.0
38,-0.014487505,-0.02363814,0.11595768,-0.0024515716,-0.01076157,0.0,0.0,0.0,0.0,0.0
39,-0.10263872,0.0051689055,-0.051435947,-0.0030373689,-0.0046034865,0.0,0.0,0.0,0.0,0.0
40,-0.0016134977,-0.0033370312,0.064619526,-0.0120999385,0.0011377931,0.0,0.0,0.0,0.0,0.0
41,-0.036002636,-0.011788541,0.012867609,-0.0047277054,-0.0019352641,0.0,0.0,0.0,0.0,0.0
42,-0.05526054,0.027921097,-0.020467443,0.0021502934,-0.0054716226,0.0,0.0,0.0,0.0,0.0
43,-0.008481383,0.075151615,-0.022840658,0.004398781,-0.009193316,0.0,0.0,0.0,0.0,0.0
44,-0.06612998,0.03715131,0.0045651104,-0.001217993,-0.0060455315,0.0,0.0,0.0,0.0,0.0
45,-0.0071718693,-0.025335243,0.09070516,-0.01835128,-0.011522552,0.0,0.0,0.0,0.0,0.0
46,-0.08361849,0.009101853,-0.009298883,-0.014307639,-0.010799428,0.0,0.0,0.0,0.0,0.0
47,0.021573365,0.009244205,-0.006280169,-0.0053646043,-0.0067310873,0.0,0.0,0.0,0.0,0.0
48,0.009687126,0.036945384,-0.001281593,-0.0020466046,-0.00889625,0.0,0.0,0.0,0.0,0.0
49,0.01226759,0.079054825,-0.017679902,-0.0036669197,-0.01340767,0.0,0.0,0.0,0.0,0.0
50,-0.018376559,0.112337016,-0.03012347,-0.012435098,-0.013004987,0.0,0.0,0.0,0.0,0.0
51,-0.064946175,0.04151668,-0.03592,0.011387087,-0.008003477,0.0,0.0,0.0,0.0,0.0
52,0.037189454,0.04064808,-0.04267606,-0.010817805,-0.013726708,0.0,0.0,0.0,0.0,0.0
53,-0.027098656,0.022575747,-0.048525736,-0.016044475,-0.012261014,0.0,0.0,0.0,0.0,0.0
54,-0.05304271,-0.0025727507,-0.0152278785,-0.027456671,-0.004934421,0.0,0.0,0.0,0.0,0.0
55,-0.040774107,0.0143726915,0.0031033438,-0.018921904,-0.0080410335,0.0,0.0,0.0,0.0,0.0
56,-0.06801206,0.029662546,0.032481954,0.0019424781,-0.011466393,0.0,0.0,0.0,0.0,0.0
57,-0.038244486,0.0086117815,0.048148118,-0.0011422159,-0.014778055,0.0,0.0,0.0,0.0,0.0
58,-0.115020275,0.07160928,-0.0030761678,0.017972209,-0.010439716,0.0,0.0,0.0,0.0,0.0
59,-0.09767759,0.020232126,0.19196995,-0.0036519207,-0.020385392,0.0,0.0,0.0,0.0,0.0
60,-0.06529963,-0.047347695,0.14897613,0.01388857,-0.0007817298,0.0,0.0,0.0,0.0,0.0
61,0.9409298,0.07871522,0.15273371,-0.0066406233,-0.015579253,1.0,0.0,0.0,0.0,0.0
62,-0.13948828,0.042006306,0.11502913,0.0021178275,-0.004728729,0.0,0.0,0.0,0.0,0.0
63,0.012316406,0.008699689,0.37406954,-0.0012880983,-0.013080832,0.0,0.0,0.0,0.0,0.0
64,-0.023422867,-0.14076674,1.0297643,0.007969239,-0.01990369,0.0,0.0,1.0,0.0,0.0
65,-0.067984104,-0.10671925,0.27342832,0.0056481967,-0.020416237,0.0,0.0,0.0,0.0,0.0
66,-0.05344206,-0.012864722,-0.052389026,0.00208586,0.0019956976,0.0,0.0,0.0,0.0,0.0
67,-0.038036108,-0.13689695,1.3232892,-0.022388943,-0.014281919,0.0,0.0,1.0,0.0,0.0
68,-0.014536917,-0.004277099,0.11965884,-0.016794804,-0.009049656,0.0,0.0,0.0,0.0,0.0
69,-0.0695374,0.047674976,-0.059138805,-0.020796964,0.00027406588,0.0,0.0,0.0,0.0,0.0
70,0.9275076,0.06392014,0.016187299,-0.035479404,-0.022085661,1.0,0.0,0.0,0.0,0.0
71,0.012296885,-0.048726145,0.24238877,-0.023657788,-0.015447289,0.0,0.0,0.0,0.0,0.0
72,-0.05587423,-0.051139835,1.3502687,-0.026605442,-0.04037922,0.0,0.0,1.0,0.0,0.0
73,2.9200635,0.0905155,0.086405754,-0.040142886,-0.0033030007,3.0,0.0,0.0,0.0,0.0
74,0.044797897,0.042527426,0.06315148,0.013010213,-0.013365369,0.0,0.0,0.0,0.0,0.0
75,-0.040846348,0.0009790994,0.007022638,0.020340674,-0.010424864,0.0,0.0,0.0,0.0,0.0
76,-0.0032204986,0.032881863,0.0012031104,0.010086154,-0.013214026,0.0,0.0,0.0,0.0,0.0
77,-0.06808418,0.04351817,-0.0015765522,0.0137993395,-0.011756234,0.0,0.0,0.0,0.0,0.0
78,-0.20942736,0.020365808,0.058602147,0.012660194,-0.010018989,0.0,0.0,0.0,0.0,0.0
79,0.042840004,-0.0030455738,0.021195477,-0.009976192,-0.016340062,0.0,0.0,0.0,0.0,0.0
80,-0.070031404,-0.023309356,-0.05230975,-0.032795653,-0.02339126,0.0,0.0,0.0,0.0,0.0
81,-0.10225892,-0.025602803,-0.05975709,-0.021482501,-0.023226237,0.0,0.0,0.0,0.0,0.0
82,-0.042238057,0.023223003,-0.035431452,-0.03182462,-0.016729552,0.0,0.0,0.0,0.0,0.0
83,-0.05370021,0.050557554,-0.0479678,-0.022915896,-0.020130532,0.0,0.0,0.0,0.0,0.0
84,-0.06861895,0.016548093,-0.042985834,-0.0077328226,-0.018090164,0.0,0.0,0.0,0.0,0.0
85,-0.041300237,0.023801554,-0.01775208,0.0034726132,-0.015578359,0.0,0.0,0.0,0.0,0.0
86,0.29318067,0.008780248,0.5412973,-0.014537373,-0.023868766,0.0,0.0,1.0,0.0,0.0
87,-0.00082591176,-0.0058735907,0.13145179,0.010637506,-0.005532559,0.0,0.0,0.0,0.0,0.0
88,0.5249853,0.09311237,0.45340252,-0.014378014,-0.024991125,1.0,0.0,1.0,0.0,0.0
89,0.05410078,0.19169764,0.832188,-0.0063318154,-0.028660856,0.0,2.0,1.0,0.0,0.0
90,0.1601111,0.0617191,1.314287,0.002417867,-0.015940832,0.0,0.0,1.0,0.0,0.0
91,-0.08510533,0.10237725,-0.010521179,0.07112917,-0.01808727,0.0,0.0,0.0,0.0,0.0
92,-0.10029286,0.09361621,-0.033716105,0.05124701,-0.014393851,0.0,0.0,0.0,0.0,0.0
93,-0.07926631,0.040394478,-0.042054273,0.016194677,-0.008235661,0.0,0.0,0.0,0.0,0.0
94,0.0765363,0.053090796,0.10693283,0.039918207,-0.018869536,0.0,0.0,0.0,0.0,0.0
