,Unnamed: 0,Unnamed: 0.1,Date,brand J148v,PENCIL E/L,brand Z76b,brand G217u,brand O72y,brand K128P,brand z38s,brand q202Y,brand g155t,brand Y12k,brand A162z,brand l244I,brand T73v,brand c108X,brand q44b,brand y180c
68,68,68,03/02/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69,69,69,04/02/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
70,70,70,05/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
71,71,71,05/02/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,72,72,06/02/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
73,73,73,06/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,74,74,06/02/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,75,75,07/02/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
76,76,76,07/02/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,77,77,09/02/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78,78,78,10/02/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,79,79,10/02/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80,80,80,10/02/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81,81,81,10/02/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,82,82,13/02/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83,83,83,15/02/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
84,84,84,18/02/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,85,85,18/02/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86,86,86,21/02/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87,87,87,23/02/2020,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88,88,23/02/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
89,89,89,23/02/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
90,90,90,23/02/2020,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,91,91,24/02/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,92,92,29/02/2020,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,93,93,02/03/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94,94,94,04/03/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,95,95,09/03/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,96,96,09/03/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,97,97,12/03/2020,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,98,98,14/03/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,99,99,14/03/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,100,14/03/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
101,101,101,14/03/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,102,102,14/03/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,103,103,15/03/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,104,104,15/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,105,105,16/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
106,106,106,18/03/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107,107,107,18/03/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
108,108,108,19/03/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
109,109,109,01/05/2020,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
110,110,110,18/05/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,111,111,18/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,112,112,18/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
113,113,113,18/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,114,114,19/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
115,115,115,20/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
116,116,116,21/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,117,117,22/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
118,118,118,23/05/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
119,119,119,23/05/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,120,120,23/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121,121,121,04/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
122,122,122,04/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
123,123,123,09/06/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,124,124,11/06/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
125,125,125,11/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
126,126,126,11/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
127,127,127,11/06/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
128,128,128,24/06/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,129,129,24/06/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
130,130,130,24/06/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,131,131,09/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
132,132,132,09/07/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
133,133,133,15/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
134,134,134,17/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135,135,135,21/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
136,136,136,23/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
137,137,137,24/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
138,138,138,27/07/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,139,139,03/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140,140,140,05/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
141,141,141,05/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
142,142,142,07/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
143,143,143,10/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
144,144,144,11/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145,145,145,11/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
146,146,146,12/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
147,147,147,12/08/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
148,148,148,12/08/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
149,149,149,13/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
150,150,150,18/08/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
151,151,151,19/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
152,152,152,21/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
153,153,153,24/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
154,154,154,24/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
155,155,155,24/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
156,156,156,26/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
157,157,157,27/08/2020,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,158,158,27/08/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,159,159,31/08/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
160,160,160,01/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
161,161,161,02/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,162,162,03/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
163,163,163,05/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
164,164,164,05/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
165,165,165,05/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
166,166,166,06/09/2020,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
167,167,167,09/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
168,168,168,12/09/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
169,169,169,12/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
170,170,170,14/09/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
171,171,171,14/09/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
172,172,172,14/09/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
173,173,173,16/09/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
174,174,174,19/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
175,175,175,19/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
176,176,176,20/09/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
177,177,177,20/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
178,178,178,22/09/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
179,179,179,22/09/2020,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
180,180,180,22/09/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
181,181,181,23/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
182,182,182,23/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
