,Unnamed: 0,Unnamed: 0.1,Date,brand r18p,brand v177j,brand I232M,brand V209V,brand P144q,brand j12s,brand Y213j,brand D203E,brand N239O,brand N97e,brand B197q,brand e250p,brand R124D,brand x20y,brand H165f,brand T75q
68,68,68,27/01/2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,69,69,31/01/2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70,70,04/02/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,71,71,05/02/2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,72,72,05/02/2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,73,73,05/02/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74,74,74,06/02/2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,75,75,10/02/2018,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
76,76,76,10/02/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,77,77,12/02/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78,78,78,13/02/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,79,79,16/02/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,80,80,18/02/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,81,81,19/02/2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82,82,82,21/02/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,83,83,21/02/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,84,84,21/02/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,85,85,22/02/2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
86,86,86,27/02/2018,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
87,87,87,01/03/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88,88,06/03/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
89,89,89,08/03/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,90,90,08/03/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91,91,91,20/03/2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,92,92,21/03/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,93,93,30/03/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,94,94,30/03/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,95,95,09/04/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
96,96,96,14/04/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
97,97,97,23/04/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,98,98,29/04/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,99,99,29/04/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,100,29/04/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
101,101,101,03/05/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,102,102,05/05/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,103,103,05/05/2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
