,Date,NON BR,VERSACE,NILAY,PIERE CARDIN,PIER CARDIN,NURTEKS,NON B,NONB,BONDY,JEREMI,NURTEEKS,AYDOGAN,IMAJ,ANIL
73,16/12/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,20/12/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,01/01/2018,2,0,0,0,0,0,0,0,0,0,0,0,0,0
76,03/01/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,04/01/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,04/01/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79,09/01/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,19/01/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0
81,26/01/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0
82,26/01/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0
83,04/02/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,05/02/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0
85,11/02/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0
86,12/02/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0
87,15/02/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,18/02/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,26/02/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,03/03/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0
91,08/03/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,12/03/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0
93,14/03/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0
94,19/03/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0
95,24/03/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,16/04/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0
97,20/04/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
98,28/04/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
99,29/04/2018,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
100,29/04/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
101,01/05/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0
102,12/05/2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103,14/05/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,04/06/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105,11/06/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106,13/06/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
107,15/06/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
108,22/06/2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0
109,27/06/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110,27/06/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
111,30/06/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0
112,30/06/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113,04/07/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
114,04/07/2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0
115,09/07/2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0
116,09/07/2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0
117,11/07/2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0
118,12/07/2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0
119,12/07/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,14/07/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0
121,15/07/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
122,17/07/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
123,22/07/2018,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
124,23/07/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125,28/07/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0
126,29/07/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
