,Unnamed: 0,Unnamed: 0.1,Date,brand m179b,brand Y206o,brand r18p,brand e250p,brand T75q,brand V209V,brand Y213j,brand t96K,brand P144q,brand j12s,brand v177j,brand B222m,brand N239O,brand R124D,brand J246F,brand w32S,brand e26Z,brand i211A,brand k154H
59,59,59,13/07/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,60,13/07/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,61,14/07/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,62,62,19/07/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,63,63,20/07/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,64,64,20/07/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,65,65,20/07/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,66,66,20/07/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,67,67,20/07/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,68,68,22/07/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,69,69,25/07/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70,70,25/07/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,71,71,25/07/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,72,72,25/07/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,73,73,01/08/2017,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,74,74,02/08/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,75,75,02/08/2017,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,76,76,03/08/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,77,77,03/08/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,78,78,03/08/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79,79,79,03/08/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,80,80,03/08/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,81,81,05/08/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,82,82,15/08/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,83,83,18/08/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,84,84,19/08/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,85,85,20/08/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,86,86,20/08/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,87,87,21/08/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88,88,21/08/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,89,89,21/08/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,90,90,22/08/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,91,91,24/08/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,92,92,24/08/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,93,93,25/08/2017,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,94,94,25/08/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,95,95,26/08/2017,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,96,96,26/08/2017,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,97,97,26/08/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,98,98,27/08/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,99,99,29/08/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,100,29/08/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,101,101,29/08/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,102,102,31/08/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,103,103,05/09/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,104,104,07/09/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,105,105,08/09/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,106,106,11/09/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
107,107,107,11/09/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
108,108,108,11/09/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,109,109,11/09/2017,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,110,110,12/09/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,111,111,18/09/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112,112,112,18/09/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,113,113,18/09/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,114,114,18/09/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
115,115,115,18/09/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,116,116,24/09/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,117,117,25/09/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,118,118,26/09/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,119,119,26/09/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,120,120,29/09/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,121,121,29/09/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,122,122,09/10/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,123,123,10/10/2017,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,124,124,11/10/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,125,125,12/10/2017,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,126,126,12/10/2017,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
