,Unnamed: 0,Unnamed: 0.1,Date,brand r18p,brand V209V,brand I232M,brand P144q,brand v177j,brand f230P,brand e130O,brand u124w,brand N239O,brand j12s,brand R124D,brand Y213j,brand N97e,brand h216j
75,75,75,20/09/2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,76,76,21/09/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
77,77,77,04/10/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78,78,78,07/10/2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,79,79,07/10/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
80,80,80,21/10/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,81,81,21/10/2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,82,82,25/10/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0
83,83,83,27/10/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,84,84,03/11/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0
85,85,85,04/11/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0
86,86,86,05/11/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87,87,87,07/11/2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0
88,88,88,09/11/2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0
89,89,89,10/11/2019,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
90,90,90,10/11/2019,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
91,91,91,10/11/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92,92,92,10/11/2019,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
93,93,93,11/11/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94,94,94,12/11/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
95,95,95,16/11/2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0
96,96,96,19/11/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0
97,97,97,21/11/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98,98,98,21/11/2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0
99,99,99,24/11/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100,100,100,25/11/2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101,101,101,28/11/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0
102,102,102,28/11/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103,103,103,29/11/2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104,104,104,07/12/2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105,105,105,13/12/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106,106,106,26/12/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0
107,107,107,29/12/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,108,108,04/01/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0
109,109,109,11/01/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0
110,110,110,12/01/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111,111,111,14/01/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0
112,112,112,17/01/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113,113,113,22/01/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0
114,114,114,24/01/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
115,115,115,31/01/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0
116,116,116,01/02/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
117,117,117,02/02/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0
118,118,118,02/02/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
119,119,119,04/02/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,120,120,09/02/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
121,121,121,13/02/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122,122,122,01/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0
123,123,123,03/03/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
124,124,124,23/05/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125,125,125,08/06/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
126,126,126,17/06/2020,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
127,127,127,07/07/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
128,128,128,16/07/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
129,129,129,12/08/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
130,130,130,31/08/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0
131,131,131,01/09/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0
132,132,132,01/09/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0
133,133,133,06/09/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0
134,134,134,10/09/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
135,135,135,30/09/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
136,136,136,07/10/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
137,137,137,20/10/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138,138,138,29/10/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0
139,139,139,29/10/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140,140,140,29/10/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0
141,141,141,29/10/2020,0,0,0,5,0,0,0,0,0,0,0,0,0,0
142,142,142,08/11/2020,0,0,0,2,0,0,0,0,0,0,0,0,0,0
143,143,143,08/11/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
144,144,144,14/11/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
145,145,145,19/11/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
146,146,146,25/11/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0
147,147,147,25/11/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0
148,148,148,26/11/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
149,149,149,02/12/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
150,150,150,11/12/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
151,151,151,18/12/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
152,152,152,18/12/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
153,153,153,22/12/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0
154,154,154,24/12/2020,0,0,0,2,0,0,0,0,0,0,0,0,0,0
155,155,155,02/01/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0
156,156,156,02/01/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1
157,157,157,03/01/2021,0,0,0,3,0,0,0,0,0,0,0,0,0,0
158,158,158,03/01/2021,0,0,0,-2,0,0,0,0,0,0,0,0,0,0
159,159,159,03/01/2021,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
160,160,160,03/01/2021,0,0,0,-3,0,0,0,0,0,0,0,0,0,0
161,161,161,03/01/2021,0,0,0,-5,0,0,0,0,0,0,0,0,0,0
162,162,162,03/01/2021,0,0,0,2,0,0,0,0,0,0,0,0,0,0
163,163,163,03/01/2021,0,0,0,2,0,0,0,0,0,0,0,0,0,0
164,164,164,03/01/2021,0,0,0,2,0,0,0,0,0,0,0,0,0,0
165,165,165,03/01/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0
166,166,166,03/01/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0
167,167,167,03/01/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0
168,168,168,08/01/2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0
169,169,169,13/01/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0
170,170,170,15/01/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0
171,171,171,15/01/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172,172,172,15/01/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0
173,173,173,21/01/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0
174,174,174,24/01/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0
175,175,175,25/01/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1
176,176,176,28/01/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0
177,177,177,29/01/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0
178,178,178,30/01/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1
179,179,179,30/01/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0
180,180,180,02/02/2021,0,0,0,0,0,0,0,1,0,0,0,0,0,0
181,181,181,05/02/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0
182,182,182,05/02/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0
183,183,183,06/02/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0
184,184,184,06/02/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0
185,185,185,09/02/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0
186,186,186,10/02/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0
187,187,187,19/02/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0
188,188,188,23/03/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0
189,189,189,25/03/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0
190,190,190,26/03/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0
191,191,191,29/03/2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0
192,192,192,22/04/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0
193,193,193,18/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1
194,194,194,29/06/2021,0,0,0,0,0,0,0,0,0,0,1,0,0,0
195,195,195,30/06/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0
196,196,196,13/07/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0
197,197,197,19/07/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0
198,198,198,20/07/2021,0,0,0,0,0,0,0,0,0,0,1,0,0,0
199,199,199,02/09/2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0
200,200,200,06/09/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0
201,201,201,07/09/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202,202,202,08/09/2021,0,0,0,0,0,0,0,0,0,0,1,0,0,0
203,203,203,08/09/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0
204,204,204,10/09/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1
205,205,205,13/09/2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0
206,206,206,20/09/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0
207,207,207,05/10/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0
208,208,208,07/10/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0
209,209,209,07/10/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0
210,210,210,13/10/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0
211,211,211,13/10/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0
212,212,212,14/10/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0
213,213,213,22/10/2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0
214,214,214,27/10/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0
215,215,215,17/11/2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0
216,216,216,18/11/2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0
