,Unnamed: 0,Unnamed: 0.1,Date,brand Y119h,brand P144q,brand w211L,brand k89w,brand C112Z
136,136,136,04/05/2021,0,1,0,0,0
137,137,137,18/05/2021,0,1,0,0,0
138,138,138,31/05/2021,0,3,0,0,0
139,139,139,03/06/2021,0,1,0,0,0
140,140,140,03/06/2021,0,1,0,0,0
141,141,141,07/06/2021,0,1,0,0,0
142,142,142,23/06/2021,1,0,0,0,0
143,143,143,26/06/2021,0,0,0,1,0
144,144,144,26/06/2021,0,1,0,0,0
145,145,145,01/07/2021,0,1,0,0,0
146,146,146,01/07/2021,0,0,0,1,0
147,147,147,03/07/2021,0,0,0,0,1
148,148,148,06/07/2021,0,0,1,0,0
149,149,149,07/07/2021,0,0,0,0,1
150,150,150,10/07/2021,0,0,0,0,1
151,151,151,12/07/2021,0,0,0,0,1
152,152,152,15/07/2021,0,0,0,0,3
153,153,153,15/07/2021,0,0,0,2,0
154,154,154,16/07/2021,0,0,0,0,1
155,155,155,19/07/2021,0,0,0,0,3
156,156,156,19/07/2021,0,0,0,1,0
157,157,157,29/07/2021,0,0,0,2,0
158,158,158,30/07/2021,0,1,0,0,0
159,159,159,31/07/2021,0,0,0,1,0
160,160,160,05/08/2021,0,0,0,1,0
161,161,161,09/08/2021,0,0,0,1,0
162,162,162,16/08/2021,0,0,0,1,0
163,163,163,03/09/2021,0,0,0,1,0
164,164,164,03/09/2021,0,1,0,0,0
165,165,165,13/09/2021,0,1,0,0,0
166,166,166,13/09/2021,0,1,0,0,0
167,167,167,17/09/2021,0,1,0,0,0
168,168,168,17/09/2021,0,0,0,1,0
169,169,169,17/09/2021,0,1,0,0,0
170,170,170,22/09/2021,0,1,0,0,0
171,171,171,23/09/2021,0,1,0,0,0
172,172,172,23/09/2021,0,0,0,1,0
173,173,173,24/09/2021,0,2,0,0,0
174,174,174,27/09/2021,0,1,0,0,0
175,175,175,27/09/2021,0,0,0,1,0
176,176,176,28/09/2021,0,0,0,1,0
177,177,177,28/09/2021,0,1,0,0,0
178,178,178,28/09/2021,0,0,0,1,0
179,179,179,29/09/2021,0,1,0,0,0
180,180,180,30/09/2021,0,1,0,0,0
181,181,181,05/10/2021,0,1,0,0,0
182,182,182,05/10/2021,0,1,0,0,0
183,183,183,05/10/2021,0,1,0,0,0
184,184,184,07/10/2021,0,2,0,0,0
185,185,185,12/10/2021,0,1,0,0,0
186,186,186,14/10/2021,0,3,0,0,0
187,187,187,21/10/2021,0,1,0,0,0
188,188,188,26/10/2021,0,1,0,0,0
189,189,189,27/10/2021,0,1,0,0,0
190,190,190,28/10/2021,0,0,0,1,0
191,191,191,30/10/2021,0,2,0,0,0
192,192,192,30/10/2021,0,0,0,0,1
193,193,193,01/11/2021,0,0,0,0,1
194,194,194,01/11/2021,0,3,0,0,0
195,195,195,06/11/2021,0,1,0,0,0
196,196,196,06/11/2021,0,1,0,0,0
197,197,197,09/11/2021,0,1,0,0,0
198,198,198,09/11/2021,0,1,0,0,0
199,199,199,09/11/2021,0,1,0,0,0
200,200,200,13/11/2021,0,1,0,0,0
201,201,201,13/11/2021,0,2,0,0,0
202,202,202,13/11/2021,0,2,0,0,0
203,203,203,17/11/2021,0,2,0,0,0
204,204,204,21/11/2021,0,0,0,1,0
205,205,205,21/11/2021,0,1,0,0,0
206,206,206,24/11/2021,0,0,0,1,0
207,207,207,28/11/2021,0,1,0,0,0
