Category,ItemCode,Barcode,ItemName,Unit,P/Rate,S/Rate
BRA,ANGEL,100490,FLOURISH,PCS,725.00,725.00
BRA,SBD4040,100501,SABINA,PCS,"2,670.00","2,670.00"
BRA,SBD4000,100502,SABINA,PCS,"2,250.00","2,250.00"
BRA,SBD6018,100503,SABINA,PCS,"4,630.00","4,630.00"
BRA,SBO350,100504,SABINA,PCS,"4,100.00","4,100.00"
BRA,PASSION,100506,ESSENTIALS,PCS,"2,490.00","2,490.00"
BRA,FL983,100515,NON B,PCS,850.00,850.00
BRA,FL119,100516,NON B,PCS,890.00,890.00
BRA,NO5225,100533,NONB,PCS,795.00,795.00
BRA,NOS9997,100534,NONB,PCS,895.00,895.00
BRA,NOS9306,100535,NONB,PCS,850.00,850.00
BRA,SH2290,100536,NONB,PCS,895.00,895.00
BRA,SHL224,100537,NONB,PCS,850.00,850.00
BRA,NOS225,100543,NONB,PCS,795.00,795.00
BRA,SBU422,100544,SABINA,PCS,"2,660.00","2,660.00"
BRA,SBI797,100545,SABINA,PCS,"3,590.00","3,590.00"
BRA,BUNTY,100556,TULIP,PCS,"1,350.00","1,350.00"
BRA,HBL507,100557,SABINA,PCS,"1,595.00","1,595.00"
BRA,SH2223,100559,NONB,PCS,795.00,795.00
BRA,SH7716,100560,NONB,PCS,895.00,895.00
BRA,SH2310,100561,NONB,PCS,950.00,950.00
BRA,NK1269,100574,NONB,PCS,"1,150.00","1,150.00"
BRA,AN3115,100585,ANIL,PCS,"1,590.00","1,590.00"
BRA,CITINF,100602,FLOURISH,PCS,"1,025.00","1,025.00"
BRA,HBL535,100605,SABINA,PCS,"1,760.00","1,760.00"
BRA,NOS9393,100607,NOS,PCS,850.00,850.00
BRA,NOS1268,100608,NOS,PCS,795.00,795.00
BRA,SH2282,100609,NON B,PCS,895.00,895.00
BRA,FL8868,100610,FLORISH,PCS,795.00,795.00
BRA,FL37620,100611,FLORISH,PCS,850.00,850.00
BRA,FL37300,100612,FLORISH,PCS,850.00,850.00
BRA,FL1805,100613,NON B,PCS,795.00,795.00
BRA,DISCLOSUREF,100642,FLOURISH,PCS,"1,625.00","1,625.00"
BRA,FL1021,100647,NON B,PCS,950.00,950.00
BRA,FL3264,100648,NON B,PCS,950.00,950.00
BRA,FL938,100649,NON B,PCS,850.00,850.00
BRA,YI1700,100661,YENI INCI,PCS,"1,990.00","1,990.00"
BRA,E3132,100666,NON B,PCS,790.00,790.00
BRA,E362,100667,NONB,PCS,790.00,790.00
BRA,E8823,100670,NON B,PCS,725.00,725.00
BRA,D1837,100671,NON B,PCS,725.00,725.00
BRA,D18002,100672,NON B,PCS,790.00,790.00
BRA,D6005,100776,NON B,PCS,890.00,890.00
BRA,SH8076,100785,NON B,PCS,950.00,950.00
BRA,BN8125,100786,NON B,PCS,950.00,950.00
BRA,E3593,100787,NON B,PCS,725.00,725.00
BRA,E1899,100788,NON B,PCS,725.00,725.00
BRA,HBL573,100790,SABINA,PCS,"1,920.00","1,920.00"
BRA,HBLN543,100792,SABINA,PCS,"1,740.00","1,740.00"
BRA,HBL537,100794,SABINA,PCS,"1,920.00","1,920.00"
BRA,FL230627,100797,FLORISH,PCS,"1,750.00","1,750.00"
BRA,TS230627,100798,FLORISH,PCS,"1,990.00","1,990.00"
BRA,SH2249,100801,NONJ B,PCS,890.00,890.00
BRA,SH18020,100802,NON B,PCS,850.00,850.00
BRA,SHL248,100803,NON B,PCS,950.00,950.00
BRA,CS013,100823,NON B,PCS,990.00,990.00
BRA,K663,100824,NON B,PCS,690.00,690.00
BRA,LA02,100825,NON B,PCS,490.00,490.00
BRA,ANURADHA,100829,TULIP,PCS,790.00,790.00
BRA,NITA,100830,TULIP,PCS,"1,290.00","1,290.00"
BRA,L511,100845,NON B,PCS,590.00,590.00
BRA,H8706,100847,NON B,PCS,850.00,850.00
BRA,SH976,100848,NON B,PCS,990.00,990.00
BRA,SH2309,100849,NON B,PCS,850.00,850.00
BRA,X5051,100865,SABINA,PCS,"3,590.00","3,590.00"
BRA,HBLP564,100868,SABINA,PCS,"1,885.00","1,885.00"
BRA,BN8568,100928,NON B,PCS,990.00,990.00
BRA,BN3115,100929,NON B,PCS,990.00,990.00
BRA,A054,100930,NON B,PCS,650.00,650.00
BRA,A8823,100931,NON B,PCS,750.00,750.00
BRA,NBB3699,100980,NBB,PCS,"1,990.00","1,990.00"
BRA,SH2374,100988,NON B,PCS,990.00,990.00
BRA,HBLN556,101030,SABINA,PCS,"1,885.00","1,885.00"
