Category,Item Code,Item Description,Bar Code,Qty Sold,Avg Rate,Total Avg Amount,Current Pur Rate,Total Current Amount,P N L
BRA,BN2217,NON BR,100185,45,650,"29,250",650,"29,250",0
BRA,BN909,NON BR,100186,97,795,"77,115",795,"77,115",0
BRA,BN8056,NON BR,100187,14,750,"10,500",750,"10,500",0
BRA,BN0512,NON BR,100188,8,750,"6,000",750,"6,000",0
BRA,BN806,NON BR,100189,19,750,"14,250",750,"14,250",0
BRA,BN8828,NON BR,100190,13,690,"8,970",690,"8,970",0
BRA,SBI753,SABINA,100192,7,"2,345.00","16,415","2,345.00","16,415",0
BRA,SBI2000,SABINA,100193,16,"2,488.44","39,815","3,590.00","57,440","-17,625"
BRA,SBH5001,SABINA,100194,6,"2,240.00","13,440","2,240.00","13,440",0
BRA (NURSING),NBB3581,NBB,100175,95,"1,590.63","151,110","2,090.00","198,550","-47,440"
BRA (NURSING),VG219,NON BR,100356,18,700,"12,600",700,"12,600",0
BRA (NURSING),AN3424,ANIL,101172,3,"1,990.00","5,970","1,990.00","5,970",0
BRA (SPORT),SH075,NON BR,100345,19,725,"13,775",725,"13,775",0
BRA (SPORT),SBB695,SABINA,100404,8,"1,820.00","14,560","1,820.00","14,560",0
BRA (SPORT),MF11027,MISS FIT,100446,6,"1,490.00","8,940","1,490.00","8,940",0
BRA (SPORT),SH068,NONB,100538,52,900.29,"46,815",990,"51,480","-4,665"
BRA (SPORT),SBB719,SABINA,100558,8,"2,360.00","18,880","2,360.00","18,880",0
BRA (SPORT),SBB1003,SABINA,100663,24,"2,535.00","60,840","2,600.00","62,400","-1,560"
BRA (SPORT),SBB1001,SABINA,101073,8,"2,600.00","20,800","2,600.00","20,800",0
BRA (SPORT),SBC1513,NON B,101194,11,990,"10,890",990,"10,890",0
BRA (SPORT),SBC1620,NON B,101195,24,"1,090.00","26,160","1,090.00","26,160",0
BRA (SPORT),SB3845,NON B,101275,2,"1,090.00","2,180","1,090.00","2,180",0
BRA PADDED,AN3616,ANIL,100166,24,"1,923.33","46,160","2,290.00","54,960","-8,800"
BRA PADDED,GO6000,GOLGE,100177,103,"1,544.32","159,065","1,990.00","204,970","-45,905"
BRA PADDED,GO6031,GOLGE,100178,195,"1,462.10","285,110","1,990.00","388,050","-102,940"
BRA PADDED,SBD7000,SABINA,100202,38,"2,457.24","93,375","3,000.00","114,000","-20,625"
BRA PADDED,SBD2023,SABINA,100283,11,"2,670.00","29,370","4,630.00","50,930","-21,560"
BRA PADDED,TR7681,TRIUMPH,100487,72,"1,775.00","127,800","1,850.00","133,200","-5,400"
BRA SET,SBDSUD3013,SABINA,100213,5,"4,310.00","21,550","6,190.00","30,950","-9,400"
BRA SET,SBISUI727,SABINA,100214,6,"3,500.00","21,000","3,500.00","21,000",0
BRA SET,SBISUI812,SABINA,100215,7,"3,115.00","21,805","3,115.00","21,805",0
BRA SET,SBISUI822,SABINA,100216,7,"3,185.00","22,295","3,185.00","22,295",0
BRA SET,SBISUI777,SABINA,100217,6,"3,500.00","21,000","3,500.00","21,000",0
BRA SET,SBISUI667,SABINA,100218,6,"3,873.33","23,240","5,390.00","32,340","-9,100"
BRA SET,KK161,CANSOY,100219,54,"1,293.70","69,860","1,390.00","75,060","-5,200"
BRA SET,KK155,CANSOY,100220,93,"1,386.77","128,970","1,490.00","138,570","-9,600"
BRA SET,KK153PU,CANSOY,100221,121,"1,467.69","177,590","1,890.00","228,690","-51,100"
BRA SET,NKVS135,NON BR,100222,24,"1,995.00","47,880","1,995.00","47,880",0
BRA SET,GO4715,GOLGE,100223,52,"2,490.00","129,480","2,490.00","129,480",0
BRA SET,GO4705,GOLGE,100224,35,"2,490.00","87,150","2,490.00","87,150",0
BRA SET,GO4650,GOLGE,100225,23,"2,633.48","60,570","2,790.00","64,170","-3,600"
BRA SET,GO4740,GOLGE,100226,37,"4,045.14","149,670","4,390.00","162,430","-12,760"
BRA SET,GO4750,GOLGE,100227,14,"3,950.00","55,300","3,950.00","55,300",0
BRA SET,GO4610,GOLGE,100228,23,"2,590.00","59,570","2,590.00","59,570",0
BRA SET,GO4565,GOLGE,100229,11,"2,190.00","24,090","2,190.00","24,090",0
BRA SET,GO4555,GOLGE,100230,63,"2,490.00","156,870","2,490.00","156,870",0
BRA SET,GO4530,GOLGE,100231,44,"2,617.27","115,160","2,790.00","122,760","-7,600"
BRA SET,GO4725,GOLGE,100232,35,"2,490.00","87,150","2,490.00","87,150",0
BRA SET,AN4686,ANIL,100233,10,"3,590.00","35,900","3,590.00","35,900",0
BRA SET,AN4613,ANIL,100234,4,"3,065.00","12,260","2,990.00","11,960",300
BRA SET,PC4030,PIER CARDIN,100235,6,"2,973.33","17,840","2,890.00","17,340",500
BRA SET,PC4511PU,PIER CARDIN,100236,15,"3,590.00","53,850","3,590.00","53,850",0
BRA SET,PC4566,PIER CARDIN,100237,3,"3,043.33","9,130","3,350.00","10,050",-920
BRA SET,PC4020PU,PIER CARDIN,100238,4,"3,080.00","12,320","3,350.00","13,400","-1,080"
BRA SET,PC4565PU,PIER CARDIN,100239,4,"3,170.00","12,680","2,990.00","11,960",720
BRA SET,PC4563PU,PIER CARDIN,100240,8,"3,080.00","24,640","3,350.00","26,800","-2,160"
BRA SET,PC4561PU,PIER CARDIN,100241,7,"3,247.14","22,730","3,350.00","23,450",-720
BRA SET,PC4562,PIER CARDIN,100242,3,"3,256.67","9,770","3,350.00","10,050",-280
BRA SET,NK7338593,NON BR,100357,21,"1,250.00","26,250","1,250.00","26,250",0
BRA SET,NK1889,NON BR,100358,10,"1,250.00","12,500","1,250.00","12,500",0
BRA SET,GO4600PU,GOLGE,100383,51,"2,793.92","142,490","3,190.00","162,690","-20,200"
BRA SET,PCDEVON,PIERE CARDIN,100384,7,"3,190.00","22,330","3,350.00","23,450","-1,120"
BRA SET,PC4491,PIERE CARDIN,100385,6,"3,396.67","20,380","3,350.00","20,100",280
BRA SET,PC4560,PIERE CARDIN,100386,1,"3,350.00","3,350","3,350.00","3,350",0
BRA SET,PC4503,PIRERE CARDIN,100387,2,"3,445.00","6,890","3,350.00","6,700",190
BRA SET,GO4596,GOLGE,100388,7,"2,590.00","18,130","2,590.00","18,130",0
BRA SET,GO4670,GOLGE,100389,2,"2,190.00","4,380","2,190.00","4,380",0
BRA SET,NK7704,NON B,100390,16,"1,290.00","20,640","1,290.00","20,640",0
BRA SET,NK7338,NON B,100391,6,"1,245.83","7,475","1,095.00","6,570",905
BRA SET,SH102-133,NON B,100392,14,"1,090.00","15,260","1,090.00","15,260",0
BRA SET,NU4321,NURTEKS,100406,10,"2,780.00","27,800","3,790.00","37,900","-10,100"
BRA SET,NU4040,NURTEKS,100407,7,"2,790.00","19,530","3,490.00","24,430","-4,900"
BRA SET,GO4595,GOLGE,100421,3,"2,590.00","7,770","2,590.00","7,770",0
BRA SET,PC4491PU,PIERE CARDIN,100422,1,"2,990.00","2,990","2,990.00","2,990",0
BRA SET,PC4564,PIERE CARDIN,100423,9,"3,247.78","29,230","3,350.00","30,150",-920
BRA SET,GO4600,GOLGE,100447,8,"2,590.00","20,720","3,190.00","25,520","-4,800"
BRA SET,GO4531,GOLGE,100482,32,"2,665.00","85,280","2,790.00","89,280","-4,000"
BRA SET,NK9051,NON BR,100483,24,"1,447.92","34,750","1,390.00","33,360","1,390"
BRA SET,NK8900,NON BR,100484,8,"1,290.00","10,320","1,290.00","10,320",0
BRA SET,NK3516,NON BR,100485,19,"1,190.00","22,610","1,190.00","22,610",0
BRA SET [NP],LSH005,LAIKA,101210,1,"1,850.00","1,850","1,650.00","1,650",200
BRA SET [NP],LTA001,LAIKA,101211,16,"1,662.50","26,600","1,650.00","26,400",200
BRA SET [NP],LKI002,LAIKA,101212,19,"1,660.53","31,550","1,650.00","31,350",200
BRA SET [NP],LFI003,LAIKA,101213,1,"1,650.00","1,650","1,650.00","1,650",0
BRA SET [NP],LAF004,LAIKA,101214,7,"1,650.00","11,550","1,650.00","11,550",0
BUSTIYER,YI2702,YENI INCI,100102,3,"6,850.00","20,550","6,850.00","20,550",0
BUSTIYER,PC4487,PIER CARDIN,100103,1,"8,990.00","8,990","8,990.00","8,990",0
BUSTIYER,AN5575,ANIL,100104,7,"6,418.57","44,930","6,990.00","48,930","-4,000"
BUSTIYER,GO5660,GOLGE,101282,1,"6,590.00","6,590","6,590.00","6,590",0
CAMISOLE,VG2140,NON BR,100105,5,400,"2,000",400,"2,000",0
CAMISOLE,VG1401,NON BR,100106,39,950,"37,050",950,"37,050",0
CAMISOLE,SH1288,NON BR,100107,9,895,"8,055",895,"8,055",0
CAMISOLE,SH82756-B,NON BR,100108,20,795,"15,900",795,"15,900",0
CAMISOLE,SH876,NON BR,100109,21,958.57,"20,130","1,050.00","22,050","-1,920"
CAMISOLE,VG214,NON BR,100110,7,695,"4,865",695,"4,865",0
CAMISOLE,SH872,NON BR,100111,12,795,"9,540",795,"9,540",0
CAMISOLE,SH7400,NON BR,100112,40,766.88,"30,675",990,"39,600","-8,925"
CAMISOLE,SH826,NON BR,100287,34,886.76,"30,150",990,"33,660","-3,510"
CAMISOLE,SH904,NON BR,100288,30,860.5,"25,815",895,"26,850","-1,035"
CAMISOLE,SH838,NON BR,100289,10,795,"7,950",795,"7,950",0
