Date,Sales,Average Discount
02/01/2018,10530,0
03/01/2018,26292,20
04/01/2018,14784,20
05/01/2018,975,0
06/01/2018,30108,40
07/01/2018,1300,0
08/01/2018,2580,0
09/01/2018,19444,20
10/01/2018,6846,20
11/01/2018,2135,0
12/01/2018,9145,0
13/01/2018,7560,20
14/01/2018,5720,0
15/01/2018,2940,0
16/01/2018,9174,20
17/01/2018,5930,0
18/01/2018,9715,0
19/01/2018,10948,20
20/01/2018,29192,20
21/01/2018,10330,0
22/01/2018,6982,20
23/01/2018,8642,20
24/01/2018,1390,0
25/01/2018,17215,0
26/01/2018,23260,20
27/01/2018,12340,33
28/01/2018,7682,20
29/01/2018,2180,0
30/01/2018,6355,0
31/01/2018,7030,20
01/02/2018,17707,20
02/02/2018,10362,20
03/02/2018,6260,0
04/02/2018,12538,20
05/02/2018,26721,20
06/02/2018,14207,20
07/02/2018,12642,20
08/02/2018,10920,0
09/02/2018,29810,0
10/02/2018,16545,20
11/02/2018,28597,20
12/02/2018,21563,20
13/02/2018,7858,20
14/02/2018,695,0
15/02/2018,13342,20
16/02/2018,12628,20
17/02/2018,6275,0
18/02/2018,26332,20
19/02/2018,5210,20
20/02/2018,4522,20
21/02/2018,12289,20
22/02/2018,12772,20
23/02/2018,5075,0
24/02/2018,10685,0
25/02/2018,18650,0
26/02/2018,6457,20
27/02/2018,9884,20
28/02/2018,5822,20
01/03/2018,22076,20
02/03/2018,10705,0
03/03/2018,13967,20
04/03/2018,6720,0
05/03/2018,6810,0
06/03/2018,22944,20
07/03/2018,4990,0
08/03/2018,12661,20
09/03/2018,4805,0
10/03/2018,17885,0
11/03/2018,2190,0
12/03/2018,4982,20
13/03/2018,200,0
14/03/2018,7462,20
15/03/2018,6975,0
16/03/2018,14075,0
17/03/2018,13050,0
18/03/2018,8050,0
19/03/2018,28400,0
20/03/2018,13780,20
21/03/2018,7066,20
22/03/2018,580,0
23/03/2018,9526,23
24/03/2018,14597,20
25/03/2018,11775,0
26/03/2018,4777,23
27/03/2018,2900,0
28/03/2018,650,0
29/03/2018,9705,50
30/03/2018,43827,20
31/03/2018,18497,20
01/04/2018,3380,0
02/04/2018,17490,0
03/04/2018,12598,50
04/04/2018,15982,20
05/04/2018,6440,0
06/04/2018,5640,0
07/04/2018,12025,0
08/04/2018,15325,0
09/04/2018,17287,20
10/04/2018,7756,20
11/04/2018,7737,20
12/04/2018,6870,0
13/04/2018,2545,0
14/04/2018,8752,20
15/04/2018,34824,20
16/04/2018,8649,20
17/04/2018,5700,0
18/04/2018,8325,0
19/04/2018,9765,0
20/04/2018,7034,20
21/04/2018,11530,0
22/04/2018,2080,0
