Date,Sales,Average Discount
29/09/2020,14385,50
30/09/2020,42210,50
01/10/2020,6980,0
02/10/2020,21435,50
03/10/2020,28010,50
04/10/2020,56025,50
05/10/2020,11645,0
06/10/2020,49121,50
07/10/2020,28585,50
08/10/2020,21836,50
09/10/2020,22803,50
10/10/2020,17360,50
11/10/2020,10395,50
12/10/2020,7890,0
13/10/2020,11901,0
14/10/2020,11202,50
15/10/2020,22085,50
16/10/2020,27641,0
17/10/2020,30700,50
18/10/2020,22225,50
19/10/2020,30678,50
20/10/2020,18673,0
21/10/2020,15345,50
22/10/2020,10120,50
23/10/2020,19185,50
24/10/2020,21118,37
25/10/2020,6215,50
29/10/2020,0,0
31/10/2020,0,0
08/11/2020,26178,50
09/11/2020,9816,32
10/11/2020,31011,40
11/11/2020,48080,44
12/11/2020,22635,34
13/11/2020,52990,26
14/11/2020,24706,37
15/11/2020,17077,26
16/11/2020,7416,20
17/11/2020,12508,40
18/11/2020,18667,20
19/11/2020,23383,31
20/11/2020,4361,0
21/11/2020,28436,27
22/11/2020,5154,40
23/11/2020,12219,26
24/11/2020,72835,30
25/11/2020,42576,22
26/11/2020,34137,27
27/11/2020,16128,28
28/11/2020,33847,33
29/11/2020,22611,30
30/11/2020,24268,26
01/12/2020,31793,21
02/12/2020,19068,30
03/12/2020,37473,28
04/12/2020,12096,27
05/12/2020,31563,21
06/12/2020,7292,20
07/12/2020,14795,26
08/12/2020,22041,30
09/12/2020,10656,30
10/12/2020,8082,26
11/12/2020,26421,24
12/12/2020,16514,20
13/12/2020,3170,20
14/12/2020,19572,38
15/12/2020,20306,21
16/12/2020,16081,27
17/12/2020,9109,27
18/12/2020,29020,30
19/12/2020,14295,21
20/12/2020,16062,26
21/12/2020,24880,28
22/12/2020,13254,30
23/12/2020,18966,25
24/12/2020,22207,21
25/12/2020,4905,40
26/12/2020,28684,22
27/12/2020,16263,26
28/12/2020,20847,22
29/12/2020,5370,20
30/12/2020,38619,25
31/12/2020,20456,25
01/01/2021,11059,28
02/01/2021,55089,33
03/01/2021,32938,26
04/01/2021,13289,38
05/01/2021,17311,36
06/01/2021,1655,0
07/01/2021,20561,28
08/01/2021,20381,37
09/01/2021,26828,37
10/01/2021,19911,31
11/01/2021,9904,35
12/01/2021,24151,30
13/01/2021,15481,33
14/01/2021,16148,20
15/01/2021,32694,27
16/01/2021,19992,34
17/01/2021,12858,27
18/01/2021,5962,32
19/01/2021,7118,40
20/01/2021,4070,40
21/01/2021,26494,40
22/01/2021,29020,27
23/01/2021,29621,36
24/01/2021,44181,32
25/01/2021,43662,28
26/01/2021,11955,20
27/01/2021,15098,26
28/01/2021,12943,20
29/01/2021,21852,28
30/01/2021,27916,30
31/01/2021,20997,28
01/02/2021,16106,48
02/02/2021,25130,35
03/02/2021,1090,0
04/02/2021,33393,30
05/02/2021,34179,31
06/02/2021,41789,32
07/02/2021,20276,30
08/02/2021,17357,32
09/02/2021,54859,30
10/02/2021,24950,40
11/02/2021,14822,34
12/02/2021,5985,20
13/02/2021,37034,29
14/02/2021,14399,37
15/02/2021,18072,46
16/02/2021,33146,20
17/02/2021,1741,0
18/02/2021,4283,40
19/02/2021,23708,32
20/02/2021,23395,20
21/02/2021,8315,20
22/02/2021,4917,30
23/02/2021,25829,27
24/02/2021,9489,0
25/02/2021,7367,27
26/02/2021,13949,26
27/02/2021,30239,26
28/02/2021,61377,30
01/03/2021,41939,33
02/03/2021,36610,26
03/03/2021,11397,20
04/03/2021,14499,50
05/03/2021,6675,20
06/03/2021,22461,28
07/03/2021,6776,26
08/03/2021,11070,35
09/03/2021,24315,32
10/03/2021,9440,40
11/03/2021,10496,30
12/03/2021,19907,25
13/03/2021,21205,30
15/03/2021,8507,50
16/03/2021,3079,38
17/03/2021,6858,40
18/03/2021,29551,30
19/03/2021,4710,30
22/03/2021,19798,33
23/03/2021,27795,33
24/03/2021,8411,0
25/03/2021,19600,30
26/03/2021,33039,28
29/03/2021,23968,27
30/03/2021,5114,30
31/03/2021,56963,30
01/04/2021,14164,30
02/04/2021,8606,0
05/04/2021,11418,30
06/04/2021,12099,30
07/04/2021,12214,25
08/04/2021,18616,26
09/04/2021,26123,27
12/04/2021,9383,20
13/04/2021,9585,20
14/04/2021,8163,27
15/04/2021,13279,32
16/04/2021,4053,20
19/04/2021,7929,30
20/04/2021,10255,30
21/04/2021,3323,0
22/04/2021,35208,26
23/04/2021,4146,0
26/04/2021,8599,20
27/04/2021,24861,29
28/04/2021,4289,30
29/04/2021,20638,25
30/04/2021,11448,30
03/05/2021,37484,34
04/05/2021,33122,29
05/05/2021,11791,0
06/05/2021,6110,0
07/05/2021,42460,31
17/05/2021,9436,50
18/05/2021,4975,50
19/05/2021,4512,20
20/05/2021,10751,30
21/05/2021,21895,23
24/05/2021,11571,24
25/05/2021,11020,0
26/05/2021,18012,35
27/05/2021,8512,42
28/05/2021,11312,20
31/05/2021,43213,25
01/06/2021,16413,30
02/06/2021,17151,25
03/06/2021,11658,20
04/06/2021,16527,25
07/06/2021,14094,23
08/06/2021,28267,31
09/06/2021,13632,20
10/06/2021,11829,22
11/06/2021,8702,20
14/06/2021,17492,20
15/06/2021,20047,35
16/06/2021,14711,20
17/06/2021,19548,26
18/06/2021,63345,27
19/06/2021,30097,30
21/06/2021,31950,40
22/06/2021,26360,20
23/06/2021,9262,26
24/06/2021,16394,20
25/06/2021,12788,26
26/06/2021,12725,50
28/06/2021,7088,20
29/06/2021,19735,27
30/06/2021,35870,24
01/07/2021,11135,50
02/07/2021,8256,20
03/07/2021,27816,23
05/07/2021,11072,20
06/07/2021,34737,40
07/07/2021,42895,25
08/07/2021,17136,20
09/07/2021,3420,0
10/07/2021,43192,20
12/07/2021,63314,22
13/07/2021,33952,20
14/07/2021,27785,21
15/07/2021,25334,33
16/07/2021,29437,22
17/07/2021,29279,28
19/07/2021,37935,21
20/07/2021,53610,27
23/07/2021,9457,23
24/07/2021,8433,30
26/07/2021,5045,25
27/07/2021,18642,20
28/07/2021,17125,27
29/07/2021,14134,20
30/07/2021,20190,25
31/07/2021,25405,25
02/08/2021,4398,40
03/08/2021,9632,20
04/08/2021,12314,32
05/08/2021,23495,20
06/08/2021,28801,24
09/08/2021,15992,35
10/08/2021,13235,0
11/08/2021,27510,25
12/08/2021,7024,20
13/08/2021,9432,20
16/08/2021,19336,20
17/08/2021,10732,20
20/08/2021,18745,25
23/08/2021,3040,0
24/08/2021,28541,27
25/08/2021,9478,20
26/08/2021,11651,27
27/08/2021,7772,20
30/08/2021,34528,20
31/08/2021,12992,20
01/09/2021,2790,0
02/09/2021,24154,23
03/09/2021,45052,24
06/09/2021,18053,30
07/09/2021,43515,23
08/09/2021,43454,30
09/09/2021,30452,20
10/09/2021,36271,25
13/09/2021,40210,28
14/09/2021,46384,22
15/09/2021,18882,20
16/09/2021,13572,28
17/09/2021,26208,20
20/09/2021,10014,20
21/09/2021,59231,26
22/09/2021,14697,20
23/09/2021,20204,20
24/09/2021,9711,27
25/09/2021,21371,22
27/09/2021,15308,25
28/09/2021,14762,20
29/09/2021,21209,26
30/09/2021,30911,20
01/10/2021,28044,20
02/10/2021,23520,22
04/10/2021,10104,20
05/10/2021,51049,21
06/10/2021,12192,30
07/10/2021,61072,21
08/10/2021,3005,0
09/10/2021,25118,32
11/10/2021,24758,21
12/10/2021,26896,27
13/10/2021,47425,26
14/10/2021,22986,21
15/10/2021,8677,25
16/10/2021,32656,23
17/10/2021,4190,0
18/10/2021,20087,30
19/10/2021,3340,0
20/10/2021,17505,20
21/10/2021,21816,20
22/10/2021,28750,26
23/10/2021,27242,23
24/10/2021,1245,50
25/10/2021,14740,20
26/10/2021,27542,20
27/10/2021,32404,20
28/10/2021,16924,22
29/10/2021,5192,20
30/10/2021,35698,20
31/10/2021,21541,30
01/11/2021,58450,20
02/11/2021,11368,20
03/11/2021,2192,20
04/11/2021,16136,20
05/11/2021,3707,20
06/11/2021,34407,21
07/11/2021,21934,23
08/11/2021,6890,0
09/11/2021,21172,35
10/11/2021,10817,20
11/11/2021,11692,25
12/11/2021,9352,20
13/11/2021,38518,20
14/11/2021,21367,35
15/11/2021,9185,0
16/11/2021,35431,20
17/11/2021,29173,20
18/11/2021,23820,24
19/11/2021,15440,42
20/11/2021,7385,40
21/11/2021,35019,42
22/11/2021,23910,50
23/11/2021,18462,42
24/11/2021,12402,35
25/11/2021,23054,37
26/11/2021,18166,32
27/11/2021,23733,38
28/11/2021,7995,50
29/11/2021,14282,40
30/11/2021,10928,43
01/12/2021,8909,30
