Date,Sales
01/01/2021,11059
02/01/2021,55089
03/01/2021,32938
04/01/2021,13289
05/01/2021,17311
06/01/2021,1655
07/01/2021,20561
08/01/2021,20381
09/01/2021,26828
10/01/2021,19911
11/01/2021,9904
12/01/2021,24151
13/01/2021,15481
14/01/2021,16148
15/01/2021,32694
16/01/2021,19992
17/01/2021,12858
18/01/2021,5962
19/01/2021,7118
20/01/2021,4070
21/01/2021,26494
22/01/2021,29020
23/01/2021,29621
24/01/2021,44181
25/01/2021,43662
26/01/2021,11955
27/01/2021,15098
28/01/2021,12943
29/01/2021,21852
30/01/2021,27916
31/01/2021,20997
01/02/2021,16106
02/02/2021,25130
03/02/2021,1090
04/02/2021,33393
05/02/2021,34179
06/02/2021,41789
07/02/2021,20276
08/02/2021,17357
09/02/2021,54859
10/02/2021,24950
11/02/2021,14822
12/02/2021,5985
13/02/2021,37034
14/02/2021,14399
15/02/2021,18072
16/02/2021,33146
17/02/2021,1741
18/02/2021,4283
19/02/2021,23708
20/02/2021,23395
21/02/2021,8315
22/02/2021,4917
23/02/2021,25829
24/02/2021,9489
25/02/2021,7367
26/02/2021,13949
27/02/2021,30239
28/02/2021,61377
01/03/2021,41939
02/03/2021,36610
03/03/2021,11397
04/03/2021,14499
05/03/2021,6675
06/03/2021,22461
07/03/2021,6776
08/03/2021,11070
09/03/2021,24315
10/03/2021,9440
11/03/2021,10496
12/03/2021,19907
13/03/2021,21205
15/03/2021,8507
16/03/2021,3079
17/03/2021,6858
18/03/2021,29551
19/03/2021,4710
22/03/2021,19798
23/03/2021,27795
24/03/2021,8411
25/03/2021,19600
26/03/2021,33039
29/03/2021,23968
30/03/2021,5114
31/03/2021,56963
01/04/2021,14164
02/04/2021,8606
05/04/2021,11418
06/04/2021,12099
07/04/2021,12214
08/04/2021,18616
09/04/2021,26123
12/04/2021,9383
13/04/2021,9585
14/04/2021,8163
15/04/2021,13279
16/04/2021,4053
19/04/2021,7929
20/04/2021,10255
21/04/2021,3323
22/04/2021,35208
23/04/2021,4146
26/04/2021,8599
27/04/2021,24861
28/04/2021,4289
29/04/2021,20638
30/04/2021,11448
03/05/2021,37484
04/05/2021,33122
05/05/2021,11791
06/05/2021,6110
07/05/2021,42460
17/05/2021,9436
18/05/2021,4975
19/05/2021,4512
20/05/2021,10751
21/05/2021,21895
24/05/2021,11571
25/05/2021,11020
26/05/2021,18012
27/05/2021,8512
28/05/2021,11312
31/05/2021,43213
01/06/2021,16413
02/06/2021,17151
03/06/2021,11658
04/06/2021,16527
07/06/2021,14094
08/06/2021,28267
09/06/2021,13632
10/06/2021,11829
11/06/2021,8702
14/06/2021,17492
15/06/2021,20047
16/06/2021,14711
17/06/2021,19548
18/06/2021,63345
19/06/2021,30097
21/06/2021,31950
22/06/2021,26360
23/06/2021,9262
24/06/2021,16394
25/06/2021,12788
26/06/2021,12725
28/06/2021,7088
29/06/2021,19735
30/06/2021,35870
01/07/2021,11135
02/07/2021,8256
03/07/2021,27816
05/07/2021,11072
06/07/2021,34737
07/07/2021,42895
08/07/2021,17136
09/07/2021,3420
10/07/2021,43192
12/07/2021,63314
13/07/2021,33952
14/07/2021,27785
15/07/2021,25334
16/07/2021,29437
17/07/2021,29279
19/07/2021,37935
20/07/2021,53610
23/07/2021,9457
24/07/2021,8433
26/07/2021,5045
27/07/2021,18642
28/07/2021,17125
29/07/2021,14134
30/07/2021,20190
31/07/2021,25405
02/08/2021,4398
03/08/2021,9632
04/08/2021,12314
05/08/2021,23495
06/08/2021,28801
09/08/2021,15992
10/08/2021,13235
11/08/2021,27510
12/08/2021,7024
13/08/2021,9432
16/08/2021,19336
17/08/2021,10732
20/08/2021,18745
23/08/2021,3040
24/08/2021,28541
25/08/2021,9478
26/08/2021,11651
27/08/2021,7772
30/08/2021,34528
31/08/2021,12992
01/09/2021,2790
02/09/2021,24154
03/09/2021,45052
06/09/2021,18053
07/09/2021,43515
08/09/2021,43454
09/09/2021,30452
10/09/2021,36271
13/09/2021,40210
14/09/2021,46384
15/09/2021,18882
16/09/2021,13572
17/09/2021,26208
20/09/2021,10014
21/09/2021,59231
22/09/2021,14697
23/09/2021,20204
24/09/2021,9711
25/09/2021,21371
27/09/2021,15308
28/09/2021,14762
29/09/2021,21209
30/09/2021,30911
01/10/2021,28044
02/10/2021,23520
04/10/2021,10104
05/10/2021,51049
06/10/2021,12192
07/10/2021,61072
08/10/2021,3005
09/10/2021,25118
11/10/2021,24758
12/10/2021,26896
13/10/2021,47425
14/10/2021,22986
15/10/2021,8677
16/10/2021,32656
17/10/2021,4190
18/10/2021,20087
19/10/2021,3340
20/10/2021,17505
21/10/2021,21816
22/10/2021,28750
23/10/2021,27242
24/10/2021,1245
25/10/2021,14740
26/10/2021,27542
27/10/2021,32404
28/10/2021,16924
29/10/2021,5192
30/10/2021,35698
31/10/2021,21541
01/11/2021,58450
02/11/2021,11368
03/11/2021,2192
04/11/2021,16136
05/11/2021,3707
06/11/2021,34407
07/11/2021,21934
08/11/2021,6890
09/11/2021,21172
10/11/2021,10817
11/11/2021,11692
12/11/2021,9352
13/11/2021,38518
14/11/2021,21367
15/11/2021,9185
16/11/2021,35431
17/11/2021,29173
18/11/2021,23820
19/11/2021,15440
20/11/2021,7385
21/11/2021,35019
22/11/2021,23910
23/11/2021,18462
24/11/2021,12402
25/11/2021,23054
26/11/2021,18166
27/11/2021,23733
28/11/2021,7995
29/11/2021,14282
30/11/2021,10928
01/12/2021,8909
