Date,Sales
01/04/2017,16748
02/04/2017,11340
03/04/2017,5331
04/04/2017,1300
06/04/2017,14660
07/04/2017,15095
08/04/2017,3530
09/04/2017,33555
10/04/2017,3840
11/04/2017,4890
12/04/2017,3690
13/04/2017,3195
14/04/2017,3440
16/04/2017,10730
17/04/2017,2350
18/04/2017,33320
19/04/2017,550
20/04/2017,1995
21/04/2017,15070
23/04/2017,6500
24/04/2017,11125
25/04/2017,400
26/04/2017,6450
27/04/2017,2590
28/04/2017,1590
29/04/2017,5285
30/04/2017,7885
01/05/2017,7420
03/05/2017,4090
04/05/2017,550
05/05/2017,5190
06/05/2017,12115
07/05/2017,11160
08/05/2017,7122
09/05/2017,11326
10/05/2017,2885
11/05/2017,9750
12/05/2017,11372
13/05/2017,27477
14/05/2017,14703
15/05/2017,3680
16/05/2017,4585
17/05/2017,2135
18/05/2017,7120
19/05/2017,1500
20/05/2017,4925
21/05/2017,15880
22/05/2017,3875
23/05/2017,9450
24/05/2017,6670
25/05/2017,21590
26/05/2017,7883
27/05/2017,4041
28/05/2017,2882
29/05/2017,8855
30/05/2017,5800
31/05/2017,8092
01/06/2017,4746
03/06/2017,4484
04/06/2017,17902
05/06/2017,1050
06/06/2017,1440
07/06/2017,6444
08/06/2017,7865
09/06/2017,4196
10/06/2017,6937
11/06/2017,18915
12/06/2017,12265
13/06/2017,4420
14/06/2017,6645
15/06/2017,9310
16/06/2017,12480
17/06/2017,15140
18/06/2017,3935
19/06/2017,11830
20/06/2017,13885
21/06/2017,28855
22/06/2017,32831
23/06/2017,35351
24/06/2017,50260
25/06/2017,54660
26/06/2017,7380
28/06/2017,8710
29/06/2017,9130
30/06/2017,5285
01/07/2017,1765
02/07/2017,4845
03/07/2017,5890
04/07/2017,24812
05/07/2017,14650
06/07/2017,5540
07/07/2017,28525
08/07/2017,1880
09/07/2017,11260
10/07/2017,2551
11/07/2017,14580
12/07/2017,23345
13/07/2017,20690
14/07/2017,14395
15/07/2017,4990
16/07/2017,14015
17/07/2017,10240
18/07/2017,5665
19/07/2017,24570
20/07/2017,13175
21/07/2017,18700
22/07/2017,13125
23/07/2017,8830
24/07/2017,4725
25/07/2017,31115
26/07/2017,7950
27/07/2017,580
28/07/2017,1995
29/07/2017,10915
30/07/2017,2940
31/07/2017,6230
01/08/2017,25755
02/08/2017,11285
03/08/2017,19950
04/08/2017,14095
05/08/2017,24750
06/08/2017,9165
07/08/2017,9365
08/08/2017,6965
09/08/2017,16311
10/08/2017,23100
11/08/2017,5140
12/08/2017,30380
13/08/2017,9690
14/08/2017,3340
15/08/2017,7945
16/08/2017,7760
17/08/2017,15940
18/08/2017,16010
19/08/2017,18680
20/08/2017,14330
21/08/2017,15775
22/08/2017,7690
23/08/2017,6795
24/08/2017,26157
25/08/2017,24010
26/08/2017,18728
27/08/2017,16230
28/08/2017,5960
29/08/2017,13355
30/08/2017,24425
31/08/2017,17235
01/09/2017,36960
02/09/2017,1300
04/09/2017,22446
05/09/2017,7175
06/09/2017,26495
07/09/2017,44655
08/09/2017,11310
09/09/2017,22130
10/09/2017,16790
11/09/2017,25195
12/09/2017,19090
13/09/2017,9575
14/09/2017,18680
15/09/2017,8450
16/09/2017,14980
17/09/2017,2725
18/09/2017,15690
19/09/2017,14930
20/09/2017,15805
21/09/2017,5515
22/09/2017,6750
23/09/2017,12480
24/09/2017,18830
25/09/2017,8875
26/09/2017,6665
27/09/2017,7060
28/09/2017,1150
29/09/2017,20616
02/10/2017,4390
03/10/2017,20770
04/10/2017,6095
05/10/2017,22430
06/10/2017,8450
07/10/2017,7985
08/10/2017,3810
09/10/2017,10335
10/10/2017,11793
11/10/2017,16790
12/10/2017,10600
13/10/2017,4765
14/10/2017,6485
15/10/2017,32925
16/10/2017,11125
17/10/2017,3610
18/10/2017,16280
19/10/2017,15280
20/10/2017,6080
21/10/2017,5105
22/10/2017,20530
23/10/2017,22340
24/10/2017,6090
25/10/2017,24730
26/10/2017,23895
27/10/2017,25965
28/10/2017,21535
29/10/2017,28220
30/10/2017,19400
31/10/2017,2850
01/11/2017,6030
02/11/2017,21065
03/11/2017,17545
04/11/2017,42640
05/11/2017,10032
06/11/2017,1640
07/11/2017,10870
08/11/2017,7425
09/11/2017,7800
10/11/2017,24678
11/11/2017,12386
12/11/2017,22682
14/11/2017,9225
15/11/2017,20094
16/11/2017,21462
17/11/2017,21332
18/11/2017,24333
19/11/2017,36257
20/11/2017,8590
21/11/2017,17850
22/11/2017,13766
23/11/2017,23018
24/11/2017,48027
25/11/2017,53570
26/11/2017,54493
27/11/2017,15777
28/11/2017,6206
29/11/2017,19532
30/11/2017,10394
01/12/2017,8969
02/12/2017,10027
03/12/2017,26334
04/12/2017,31354
05/12/2017,1573
06/12/2017,14840
07/12/2017,2430
08/12/2017,12122
09/12/2017,19905
10/12/2017,11957
11/12/2017,3275
12/12/2017,24460
13/12/2017,4657
14/12/2017,10995
15/12/2017,4200
16/12/2017,18926
17/12/2017,16330
18/12/2017,7167
19/12/2017,27057
20/12/2017,20379
21/12/2017,18797
22/12/2017,12847
23/12/2017,15070
24/12/2017,13935
25/12/2017,33026
26/12/2017,14386
27/12/2017,23462
28/12/2017,12299
29/12/2017,17687
30/12/2017,13055
31/12/2017,840
