Date,Sales
01/01/2020,15621
02/01/2020,18431
03/01/2020,19823
04/01/2020,27424
05/01/2020,21448
06/01/2020,15023
07/01/2020,22155
08/01/2020,14297
09/01/2020,8555
10/01/2020,22750
11/01/2020,24099
12/01/2020,28865
13/01/2020,13265
14/01/2020,20370
15/01/2020,13931
16/01/2020,16882
17/01/2020,27623
18/01/2020,11705
19/01/2020,67897
20/01/2020,27887
21/01/2020,14119
22/01/2020,28676
23/01/2020,13920
24/01/2020,20958
25/01/2020,7765
26/01/2020,24938
27/01/2020,9915
28/01/2020,13986
29/01/2020,50289
30/01/2020,7030
31/01/2020,21718
01/02/2020,18010
02/02/2020,43305
03/02/2020,14187
04/02/2020,21807
05/02/2020,10898
06/02/2020,22121
07/02/2020,16072
08/02/2020,20573
09/02/2020,22386
10/02/2020,13459
11/02/2020,15526
12/02/2020,4325
13/02/2020,27119
14/02/2020,30855
15/02/2020,50735
16/02/2020,18830
17/02/2020,21795
18/02/2020,14071
19/02/2020,26306
20/02/2020,32828
21/02/2020,32733
22/02/2020,20212
23/02/2020,16948
24/02/2020,15768
25/02/2020,10360
26/02/2020,19846
27/02/2020,22050
28/02/2020,58189
29/02/2020,23169
01/03/2020,20207
02/03/2020,44167
03/03/2020,9505
04/03/2020,29216
05/03/2020,43227
06/03/2020,4400
07/03/2020,28776
08/03/2020,18631
09/03/2020,12780
10/03/2020,24326
11/03/2020,9765
12/03/2020,15974
13/03/2020,9056
14/03/2020,12735
15/03/2020,8678
16/03/2020,22132
17/03/2020,9597
18/03/2020,19876
19/03/2020,8280
20/03/2020,7501
01/05/2020,13221
18/05/2020,36559
19/05/2020,51716
20/05/2020,43078
21/05/2020,38077
22/05/2020,73117
23/05/2020,41806
27/05/2020,9905
28/05/2020,13310
30/05/2020,11424
31/05/2020,8280
01/06/2020,14295
02/06/2020,4080
03/06/2020,11066
04/06/2020,20781
05/06/2020,21365
08/06/2020,13286
09/06/2020,17325
10/06/2020,6589
11/06/2020,22010
12/06/2020,13555
15/06/2020,5760
16/06/2020,6370
17/06/2020,6859
18/06/2020,6105
19/06/2020,17230
22/06/2020,9436
23/06/2020,14865
24/06/2020,20391
06/07/2020,3155
07/07/2020,46697
08/07/2020,14650
09/07/2020,24158
10/07/2020,28100
13/07/2020,45133
14/07/2020,16340
15/07/2020,15441
16/07/2020,8385
17/07/2020,14155
20/07/2020,21980
21/07/2020,13925
22/07/2020,12800
23/07/2020,29007
24/07/2020,29665
27/07/2020,63535
03/08/2020,17733
04/08/2020,17640
05/08/2020,26365
06/08/2020,9715
07/08/2020,14421
10/08/2020,34923
11/08/2020,31041
12/08/2020,25411
13/08/2020,20835
14/08/2020,8665
15/08/2020,24352
16/08/2020,23786
17/08/2020,22160
18/08/2020,18830
19/08/2020,12800
20/08/2020,7925
21/08/2020,18583
22/08/2020,26120
23/08/2020,13605
24/08/2020,11205
25/08/2020,7085
26/08/2020,24762
27/08/2020,8135
28/08/2020,7850
31/08/2020,36830
01/09/2020,65378
02/09/2020,16115
03/09/2020,8710
04/09/2020,13146
05/09/2020,22075
06/09/2020,21147
07/09/2020,40931
08/09/2020,17610
09/09/2020,21542
10/09/2020,19460
11/09/2020,21855
12/09/2020,55015
13/09/2020,12235
14/09/2020,12490
15/09/2020,24300
16/09/2020,18705
17/09/2020,21180
18/09/2020,9235
19/09/2020,35520
20/09/2020,24295
21/09/2020,11786
22/09/2020,46790
23/09/2020,20300
24/09/2020,29832
25/09/2020,11300
26/09/2020,28005
27/09/2020,18965
28/09/2020,17890
29/09/2020,14385
30/09/2020,42210
01/10/2020,6980
02/10/2020,21435
03/10/2020,28010
04/10/2020,56025
05/10/2020,11645
06/10/2020,49121
07/10/2020,28585
08/10/2020,21836
09/10/2020,22803
10/10/2020,17360
11/10/2020,10395
12/10/2020,7890
13/10/2020,11901
14/10/2020,11202
15/10/2020,22085
16/10/2020,27641
17/10/2020,30700
18/10/2020,22225
19/10/2020,30678
20/10/2020,18673
21/10/2020,15345
22/10/2020,10120
23/10/2020,19185
24/10/2020,21118
25/10/2020,6215
29/10/2020,0
31/10/2020,0
08/11/2020,26178
09/11/2020,9816
10/11/2020,31011
11/11/2020,48080
12/11/2020,22635
13/11/2020,52990
14/11/2020,24706
15/11/2020,17077
16/11/2020,7416
17/11/2020,12508
18/11/2020,18667
19/11/2020,23383
20/11/2020,4361
21/11/2020,28436
22/11/2020,5154
23/11/2020,12219
24/11/2020,72835
25/11/2020,42576
26/11/2020,34137
27/11/2020,16128
28/11/2020,33847
29/11/2020,22611
30/11/2020,24268
01/12/2020,31793
02/12/2020,19068
03/12/2020,37473
04/12/2020,12096
05/12/2020,31563
06/12/2020,7292
07/12/2020,14795
08/12/2020,22041
09/12/2020,10656
10/12/2020,8082
11/12/2020,26421
12/12/2020,16514
13/12/2020,3170
14/12/2020,19572
15/12/2020,20306
16/12/2020,16081
17/12/2020,9109
18/12/2020,29020
19/12/2020,14295
20/12/2020,16062
21/12/2020,24880
22/12/2020,13254
23/12/2020,18966
24/12/2020,22207
25/12/2020,4905
26/12/2020,28684
27/12/2020,16263
28/12/2020,20847
29/12/2020,5370
30/12/2020,38619
31/12/2020,20456
