Category,Item Code,Item Description,Bar Code,Opening,Purchase,Sale,Closing
BRA,BN3091,NON BR,100260,0,21,21,0
BRA,SH843,NON BR,100261,0,21,21,0
BRA,SH2147,NON BR,100262,0,21,21,0
BRA,M&SMIX006,M & S,100263,0,114,114,0
BRA,SBD2000,SABINA,100281,0,7,7,0
BRA,SBD4021,SABINA,100282,0,8,8,0
BRA,XBO051,SABINA,100284,0,16,16,0
BRA,SBD4035,SABINA,100285,0,12,12,0
BRA,SH8056,NON BR,100302,0,18,18,0
BRA,SH2148,NON BR,100303,0,9,9,0
BRA,SH717,NON BR,100304,0,18,18,0
BRA,BN8825,NON BR,100305,0,18,18,0
BRA,BN0513,NON BR,100306,0,14,14,0
BRA,BN502,NON BR,100307,0,18,18,0
BRA,SH1856,NON BR,100346,0,24,24,0
BRA,SH2093,NON BR,100347,0,22,22,0
BRA,SH946,NON BR,100348,0,15,15,0
BRA,SH831,NON BR,100349,0,13,13,0
BRA,DB8083,NON BR,100350,0,16,16,0
BRA,BN8025,NON.B,100382,0,30,30,0
BRA,SH2117,NON B,100393,0,21,21,0
BRA,SBB513,SABINA,100395,0,7,7,0
BRA,SBC348,SABINA,100396,0,5,5,0
BRA,BRA200,CANSOY,100439,0,28,28,0
BRA,SH2212,NON BR,100440,0,8,8,0
BRA,SH2128,NON BR,100441,0,12,12,0
BRA,SH2134,NON BR,100442,0,24,24,0
BRA,SH2116,NON BR,100443,0,6,6,0
BRA,BN930,NON BR,100444,0,12,12,0
BRA,BN2011,NON BR,100445,0,12,12,0
BRA,FL3700,NON BR,100488,0,27,27,0
BRA,CITIN,LUXURY FLOURISH,100489,0,51,51,0
BRA,ANGEL,FLOURISH,100490,0,298,289,9
BRA,SBD4040,SABINA,100501,0,12,12,0
BRA,SBD4000,SABINA,100502,0,12,12,0
BRA,SBD6018,SABINA,100503,0,19,19,0
BRA,SBO350,SABINA,100504,0,20,20,0
BRA,PASSION,ESSENTIALS,100506,0,284,250,34
BRA,FL931,BRA,100514,0,20,20,0
BRA,FL983,NON B,100515,0,24,24,0
BRA,FL119,NON B,100516,0,24,24,0
BRA,NOS9997,NONB,100534,0,12,12,0
BRA,NOS9306,NONB,100535,0,18,18,0
BRA,SH2290,NONB,100536,0,16,16,0
BRA,SHL224,NONB,100537,0,24,24,0
BRA,NOS225,NONB,100543,0,45,45,0
BRA,SBU422,SABINA,100544,0,4,4,0
BRA,SBI797,SABINA,100545,0,7,7,0
BRA,BUNTY,TULIP,100556,0,67,50,17
BRA,HBL507,SABINA,100557,0,15,15,0
BRA,SH2223,NONB,100559,0,9,9,0
BRA,SH7716,NONB,100560,0,18,18,0
BRA,SH2310,NONB,100561,0,18,18,0
BRA,NK1269,NONB,100574,0,15,15,0
BRA,AN3115,ANIL,100585,0,12,12,0
BRA,CITINF,FLOURISH,100602,0,147,97,50
BRA,HBL535,SABINA,100605,0,9,9,0
BRA,NOS9393,NOS,100607,0,20,20,0
BRA,NOS1268,NOS,100608,0,13,13,0
BRA,SH2282,NON B,100609,0,17,17,0
BRA,FL8868,FLORISH,100610,0,21,21,0
BRA,FL37620,FLORISH,100611,0,16,16,0
BRA,FL37300,FLORISH,100612,0,18,18,0
BRA,FL1805,NON B,100613,0,18,18,0
BRA,DISCLOSUREF,FLOURISH,100642,0,90,65,25
BRA,FL1021,NON B,100647,0,12,12,0
BRA,FL3264,NON B,100648,0,8,8,0
BRA,FL938,NON B,100649,0,32,32,0
BRA,YI1700,YENI INCI,100661,0,49,49,0
BRA,E3132,NON B,100666,0,18,18,0
BRA,E362,NONB,100667,0,36,36,0
BRA,E8823,NON B,100670,0,27,27,0
BRA,D1837,NON B,100671,0,16,16,0
BRA,D18002,NON B,100672,0,12,12,0
BRA,D6005,NON B,100776,0,24,24,0
BRA,SH8076,NON B,100785,0,12,12,0
BRA,BN8125,NON B,100786,950,985,"1,935",0
BRA,E3593,NON B,100787,0,30,30,0
BRA,E1899,NON B,100788,0,23,23,0
BRA,HBLN543,SABINA,100792,0,12,12,0
BRA,HBL537,SABINA,100794,0,6,6,0
BRA,FL230627,FLORISH,100797,0,98,33,65
BRA,TS230627,FLORISH,100798,0,78,78,0
BRA,SH2249,NONJ B,100801,0,24,24,0
BRA,SH18020,NON B,100802,0,24,24,0
BRA,SHL248,NON B,100803,0,24,24,0
BRA,CS013,NON B,100823,0,18,18,0
BRA,K663,NON B,100824,0,41,41,0
BRA,LA02,NON B,100825,0,63,63,0
BRA,ANURADHA,TULIP,100829,0,84,58,26
BRA,NITA,TULIP,100830,0,142,113,29
BRA,L511,NON B,100845,0,25,25,0
BRA,H8706,NON B,100847,0,34,34,0
BRA,SH976,NON B,100848,0,35,35,0
BRA,SH2309,NON B,100849,0,27,27,0
BRA,HBLP564,SABINA,100868,0,13,13,0
BRA,BN8568,NON B,100928,0,20,20,0
BRA,BN3115,NON B,100929,0,30,30,0
BRA,A054,NON B,100930,0,20,20,0
BRA,A8823,NON B,100931,0,75,75,0
BRA,NBB3699,NBB,100980,0,8,8,0
BRA,SH2374,NON B,100988,0,30,30,0
BRA,HBLP545,SABINA,101032,0,5,5,0
BRA,E539,NON B,101035,0,16,16,0
BRA,N669,NON B,101053,0,28,28,0
BRA,H7984,NON B,101055,0,15,15,0
BRA,HS019,NON B,101108,0,24,24,0
BRA,AN3714,ANIL,101193,0,58,22,36
