Date,Sales
01/01/2019,34606
02/01/2019,37400
03/01/2019,7012
04/01/2019,7729
05/01/2019,11335
06/01/2019,9246
07/01/2019,10614
08/01/2019,11197
09/01/2019,11031
10/01/2019,1488
11/01/2019,14304
12/01/2019,12378
13/01/2019,12704
14/01/2019,25108
15/01/2019,18028
16/01/2019,9251
17/01/2019,4625
18/01/2019,18657
19/01/2019,8488
20/01/2019,16877
21/01/2019,842
23/01/2019,21728
24/01/2019,15426
25/01/2019,12368
26/01/2019,9062
27/01/2019,10483
28/01/2019,12821
29/01/2019,9192
30/01/2019,38465
31/01/2019,5587
01/02/2019,30731
02/02/2019,30777
03/02/2019,41053
04/02/2019,4196
05/02/2019,18667
06/02/2019,27583
07/02/2019,3940
08/02/2019,18036
09/02/2019,37077
10/02/2019,12191
11/02/2019,5547
12/02/2019,16351
13/02/2019,16720
14/02/2019,13529
15/02/2019,9152
16/02/2019,12159
17/02/2019,21168
18/02/2019,8176
19/02/2019,21344
20/02/2019,6098
21/02/2019,19257
22/02/2019,30129
23/02/2019,12708
24/02/2019,30070
25/02/2019,13026
26/02/2019,12722
27/02/2019,16834
28/02/2019,12387
01/03/2019,44148
02/03/2019,17324
03/03/2019,35365
04/03/2019,13505
05/03/2019,20942
06/03/2019,64691
07/03/2019,36379
08/03/2019,19453
09/03/2019,20186
10/03/2019,11878
11/03/2019,11041
12/03/2019,8776
13/03/2019,12901
14/03/2019,11268
15/03/2019,18863
16/03/2019,10579
17/03/2019,27078
18/03/2019,25439
19/03/2019,29332
20/03/2019,9494
21/03/2019,12367
22/03/2019,17210
23/03/2019,18848
24/03/2019,11682
25/03/2019,4706
26/03/2019,11213
27/03/2019,4851
28/03/2019,7546
29/03/2019,16847
30/03/2019,9055
31/03/2019,17641
01/04/2019,10747
02/04/2019,6737
03/04/2019,17000
04/04/2019,5484
05/04/2019,15957
06/04/2019,20043
07/04/2019,11983
08/04/2019,7356
09/04/2019,3470
10/04/2019,13381
11/04/2019,22710
12/04/2019,38415
13/04/2019,31498
14/04/2019,17779
15/04/2019,15778
16/04/2019,23126
17/04/2019,13415
18/04/2019,3874
19/04/2019,16213
20/04/2019,32464
21/04/2019,2998
22/04/2019,11056
23/04/2019,16738
24/04/2019,24980
25/04/2019,3185
26/04/2019,16701
27/04/2019,13703
28/04/2019,12508
29/04/2019,4814
30/04/2019,8951
01/05/2019,16741
02/05/2019,4393
03/05/2019,13489
04/05/2019,8118
05/05/2019,26426
06/05/2019,2580
07/05/2019,5150
08/05/2019,2279
09/05/2019,7639
10/05/2019,3788
11/05/2019,12789
12/05/2019,4893
13/05/2019,4430
14/05/2019,5625
15/05/2019,1437
16/05/2019,3633
17/05/2019,10479
18/05/2019,28161
19/05/2019,24347
20/05/2019,18367
21/05/2019,6324
22/05/2019,11505
23/05/2019,10445
24/05/2019,3884
25/05/2019,15643
26/05/2019,9208
27/05/2019,13169
28/05/2019,27542
29/05/2019,12384
30/05/2019,26381
31/05/2019,48121
01/06/2019,40372
02/06/2019,18465
03/06/2019,18753
04/06/2019,51509
07/06/2019,14900
08/06/2019,22613
09/06/2019,4445
10/06/2019,18692
11/06/2019,44670
12/06/2019,29926
13/06/2019,14969
14/06/2019,39144
15/06/2019,11922
16/06/2019,24344
17/06/2019,11977
18/06/2019,16069
19/06/2019,5415
20/06/2019,14584
21/06/2019,3426
22/06/2019,13327
23/06/2019,3043
24/06/2019,16145
25/06/2019,19217
26/06/2019,16890
27/06/2019,11098
28/06/2019,17795
29/06/2019,35597
30/06/2019,9774
01/07/2019,18829
02/07/2019,14316
03/07/2019,11690
04/07/2019,12405
05/07/2019,48544
06/07/2019,25128
07/07/2019,23631
08/07/2019,19528
09/07/2019,19510
10/07/2019,7448
11/07/2019,17415
12/07/2019,21189
13/07/2019,26070
14/07/2019,11427
15/07/2019,17369
16/07/2019,10831
17/07/2019,21209
18/07/2019,20154
19/07/2019,18618
20/07/2019,20668
21/07/2019,33481
22/07/2019,22688
23/07/2019,27940
24/07/2019,5289
25/07/2019,6692
26/07/2019,26728
27/07/2019,33910
28/07/2019,26479
29/07/2019,24791
30/07/2019,7365
31/07/2019,19707
01/08/2019,28052
02/08/2019,27853
03/08/2019,24307
04/08/2019,25612
05/08/2019,12596
06/08/2019,13041
07/08/2019,63437
08/08/2019,19281
09/08/2019,28222
10/08/2019,42200
11/08/2019,24975
12/08/2019,3372
14/08/2019,1100
15/08/2019,11207
16/08/2019,29776
17/08/2019,30838
18/08/2019,15965
19/08/2019,14981
20/08/2019,13105
21/08/2019,11466
22/08/2019,5675
23/08/2019,17545
24/08/2019,57916
25/08/2019,13650
26/08/2019,12475
27/08/2019,410
28/08/2019,23156
29/08/2019,15701
30/08/2019,15860
31/08/2019,17080
01/09/2019,30682
02/09/2019,10791
03/09/2019,13626
04/09/2019,21874
05/09/2019,3970
06/09/2019,3315
07/09/2019,34766
08/09/2019,33593
11/09/2019,38756
12/09/2019,34773
13/09/2019,28990
14/09/2019,20519
15/09/2019,36985
16/09/2019,6970
17/09/2019,16575
18/09/2019,33876
19/09/2019,7335
20/09/2019,15597
21/09/2019,43803
22/09/2019,41138
23/09/2019,13096
24/09/2019,9956
25/09/2019,6670
26/09/2019,18070
27/09/2019,57318
28/09/2019,14016
29/09/2019,31369
30/09/2019,6660
01/10/2019,20058
02/10/2019,30536
03/10/2019,22620
04/10/2019,22477
05/10/2019,20878
06/10/2019,20980
07/10/2019,29815
08/10/2019,11136
09/10/2019,3150
10/10/2019,5755
11/10/2019,11190
12/10/2019,26686
13/10/2019,28922
14/10/2019,17990
15/10/2019,31192
16/10/2019,20877
17/10/2019,14800
18/10/2019,1735
19/10/2019,19367
20/10/2019,18169
21/10/2019,26007
22/10/2019,27035
23/10/2019,3555
24/10/2019,10835
25/10/2019,43937
26/10/2019,15400
27/10/2019,21614
28/10/2019,13091
29/10/2019,17008
30/10/2019,16305
31/10/2019,31176
01/11/2019,13645
02/11/2019,26241
03/11/2019,20402
04/11/2019,21505
05/11/2019,18752
06/11/2019,27067
07/11/2019,8980
08/11/2019,12315
09/11/2019,34667
10/11/2019,57962
11/11/2019,53406
12/11/2019,61717
13/11/2019,13351
14/11/2019,9131
15/11/2019,31597
16/11/2019,28956
17/11/2019,18962
18/11/2019,28202
19/11/2019,17622
20/11/2019,22126
21/11/2019,43971
22/11/2019,34315
23/11/2019,25795
24/11/2019,29720
25/11/2019,7925
26/11/2019,19960
27/11/2019,8110
28/11/2019,49732
29/11/2019,61196
30/11/2019,65001
01/12/2019,24197
02/12/2019,16672
03/12/2019,21675
04/12/2019,33556
05/12/2019,7365
06/12/2019,19585
07/12/2019,19595
08/12/2019,31438
09/12/2019,11542
10/12/2019,15265
11/12/2019,11465
12/12/2019,13906
13/12/2019,25419
14/12/2019,34667
15/12/2019,59509
16/12/2019,30201
17/12/2019,33175
18/12/2019,46601
19/12/2019,18591
20/12/2019,7045
21/12/2019,37818
22/12/2019,40241
23/12/2019,10610
24/12/2019,25262
25/12/2019,27846
26/12/2019,26427
27/12/2019,42692
28/12/2019,64448
29/12/2019,22172
30/12/2019,20475
31/12/2019,14241
